2MASS,GaiaDR2,Name,RAJ2000,DEJ2000,pmRA,pmDE,plx,r-astro,rv,r_rv,Cluster,Member,J17,L18-t1,L18-t6,Dist,SimbadName
2MASS J04212650+2952476,Gaia DR2 165259178932295552,,04 21 26.52,+29 52 47.3,9.107,-23.308,7.845,GaiaDR2,,,7,0,0,0,1,,2MASS J04212650+2952476
2MASS J04213459+2701388,Gaia DR2 152305248330621184,,04 21 34.61,+27 01 39.0,11.773,-16.632,6.018,GaiaDR2,16.950,17,8,1,1,1,0,*,2MASS J04213459+2701388
2MASS J04213965+2649143,Gaia DR2 152284735566828032,,04 21 39.66,+26 49 13.8,10.667,-18.084,6.043,GaiaDR2,16.530,17,8,1,0,1,0,*,2MASS J04213965+2649143
2MASS J04214013+2814224,Gaia DR2 164530511961426176,XEST21-026,04 21 40.15,+28 14 22.6,8.357,-25.982,7.819,GaiaDR2,15.490,17,7,1,1,1,0,*,2MASS J04214013+2814224
2MASS J04214323+1934133,Gaia DR2 48238809222398336,IRAS04187+1927,04 21 43.25,+19 34 13.4,5.700,-11.755,6.753,GaiaDR2,,,19,1,1,1,0,*,2MASS J04214323+1934133
2MASS J04214631+2659296,Gaia DR2 152293149405058816,,04 21 46.32,+26 59 29.8,11.917,-18.326,6.262,GaiaDR2,17.070,17,8,0,1,1,0,,2MASS J04214631+2659296
2MASS J04215450+2652315,Gaia DR2 152291160837987456,,04 21 54.50,+26 52 31.4,,,,,,,0,0,1,1,0,,2MASS J04215450+2652315
2MASS J04215482+2642372,Gaia DR2 152280165721635968,,04 21 54.83,+26 42 37.1,10.139,-16.873,6.231,GaiaDR2,16.300,17,8,0,0,1,0,,2MASS J04215482+2642372
2MASS J04215563+2755060,Gaia DR2 152511475478780416,DETau,04 21 55.63,+27 55 06.2,10.755,-27.221,7.881,GaiaDR2,15.402,15,7,1,1,1,0,*,2MASS J04215563+2755060
,,IRAM04191+1522,04 21 56.86,+15 29 46.0,,,,,,,0,0,1,1,0,,NAME IRAM 04191+1522
2MASS J04215740+2826355,Gaia DR2 164551162164119424,RYTau,04 21 57.41,+28 26 35.5,4.987,-25.712,2.287,GaiaDR2,24.300,11,0,0,1,1,0,,2MASS J04215740+2826355
2MASS J04215884+2818066,Gaia DR2 164536250037820160,HD283572,04 21 58.85,+28 18 06.5,8.853,-26.491,7.722,VLBI,14.220,15,7,1,1,1,0,*,2MASS J04215884+2818066
2MASS J04215943+1932063,Gaia DR2 48192969034959232,TTauN+S,04 21 59.42,+19 32 06.4,6.790,-11.131,6.723,VLBI,19.230,15,19,1,1,1,0,*,2MASS J04215943+1932063
2MASS J04220007+1530248,,IRAS04191+1523B,04 22 00.08,+15 30 24.8,,,,,,,0,0,0,1,0,,2MASS J04220007+1530248
2MASS J04220043+1530212,,IRAS04191+1523A,04 22 00.43,+15 30 21.2,,,,,,,0,0,1,1,0,,2MASS J04220043+1530212
2MASS J04220069+2657324,,,04 22 00.70,+26 57 32.4,,,,,,,0,0,1,1,0,,2MASS J04220069+2657324
,,UGCS J042201.36+265512.1,04 22 01.36,+26 55 12.2,,,,,,,0,0,0,1,0,,UGCS J042201.36+265512.1
2MASS J04220217+2657304,Gaia DR2 152292187332155008,FSTauA+B,04 22 02.18,+26 57 30.6,,,,,17.890,17,0,0,1,1,0,,2MASS J04220217+2657304
2MASS J04220313+2825389,Gaia DR2 164550882989640192,LkCa21,04 22 03.14,+28 25 39.0,10.270,-25.864,8.344,GaiaDR2,16.330,17,0,0,1,1,0,,2MASS J04220313+2825389
2MASS J04220496+1934483,Gaia DR2 48193213849576320,RXJ0422.1+1934,04 22 04.97,+19 34 48.2,6.757,-12.729,6.936,GaiaDR2,,,19,1,0,1,0,*,2MASS J04220496+1934483
2MASS J04221332+1934392,Gaia DR2 48193316928788352,,04 22 13.32,+19 34 39.4,6.416,-12.410,7.314,GaiaDR2,,,19,1,1,1,0,*,2MASS J04221332+1934392
2MASS J04221568+2657060,Gaia DR2 152293359861143040,XEST11-078,04 22 15.67,+26 57 06.1,,,,,15.570,17,0,0,1,1,0,,2MASS J04221568+2657060
2MASS J04221644+2549118,Gaia DR2 150501362066641664,,04 22 16.44,+25 49 12.0,14.126,-19.654,6.641,GaiaDR2,14.600,17,0,0,1,1,0,,2MASS J04221644+2549118
2MASS J04221675+2654570,Gaia DR2 152288824375681536,IRASF04192+2647,04 22 16.75,+26 54 57.2,11.307,-17.597,6.377,GaiaDR2,15.860,17,0,0,1,1,0,,2MASS J04221675+2654570
2MASS J04222404+2646258,Gaia DR2 152099055539792000,XEST11-087,04 22 24.05,+26 46 25.7,11.413,-17.856,6.155,GaiaDR2,16.860,17,8,1,1,1,0,*,2MASS J04222404+2646258
2MASS J04224786+2645530,Gaia DR2 152098299625634816,IRAS04196+2638,04 22 47.88,+26 45 52.9,10.743,-17.142,6.372,GaiaDR2,16.490,17,8,1,1,1,0,*,2MASS J04224786+2645530
2MASS J04225416+2439538,Gaia DR2 149525098819498752,,04 22 54.18,+24 39 53.4,7.994,-23.411,7.890,GaiaDR2,,,0,0,0,1,0,,2MASS J04225416+2439538
2MASS J04230607+2801194,Gaia DR2 152516079683687680,,04 23 06.07,+28 01 19.6,7.929,-26.682,7.499,GaiaDR2,15.790,17,7,1,1,1,0,*,2MASS J04230607+2801194
2MASS J04230776+2805573,Gaia DR2 152518828462749440,IRAS04200+2759,04 23 07.78,+28 05 57.5,9.654,-27.014,7.221,GaiaDR2,,,7,1,1,1,0,*,2MASS J04230776+2805573
2MASS J04231822+2641156,Gaia DR2 152082214971294976,,04 23 18.24,+26 41 15.7,,,,,17.050,17,0,0,1,1,0,,2MASS J04231822+2641156
2MASS J04233290+1950193,Gaia DR2 48297530014248704,PSOJ065.8871+19.8386,04 23 32.92,+19 50 19.1,8.309,-10.676,6.844,GaiaDR2,,,0,0,0,1,0,,2MASS J04233290+1950193
